lag_bins,acf,white_noise_95_band,acf_physically_relevant_analytic,shuffle_95_band,acf_physically_relevant_shuffle
0,2.1717884678032358e-05,0.009134080456134,False,2.1717884678032358e-05,False
1,1.0661741996384477e-05,0.009134080456134,False,1.8017127211690874e-07,True
2,1.0362511939960388e-05,0.009134080456134,False,1.9517740780580036e-07,True
3,1.0376926771094775e-05,0.009134080456134,False,2.0318860852678788e-07,True
4,1.0272190383454564e-05,0.009134080456134,False,1.9707648865330564e-07,True
5,1.0051186223658758e-05,0.009134080456134,False,2.0533028557803524e-07,True
6,1.014590008418867e-05,0.009134080456134,False,2.131322022692986e-07,True
7,1.030558082557795e-05,0.009134080456134,False,2.0470761229238294e-07,True
8,1.0371014720636583e-05,0.009134080456134,False,2.2549931053647315e-07,True
9,1.0214471574565278e-05,0.009134080456134,False,1.8966385321869471e-07,True
10,1.0195248110658553e-05,0.009134080456134,False,2.0170694737752964e-07,True
11,1.0170869642131213e-05,0.009134080456134,False,1.8728026992724256e-07,True
12,1.019122575717526e-05,0.009134080456134,False,1.9069016160639896e-07,True
13,1.0079923284075919e-05,0.009134080456134,False,1.752869171808845e-07,True
14,1.0136082750401201e-05,0.009134080456134,False,1.9612670071398275e-07,True
15,1.0039505738826245e-05,0.009134080456134,False,1.9847570380150653e-07,True
16,1.019239729537537e-05,0.009134080456134,False,2.160955433513654e-07,True
17,1.0102127670372923e-05,0.009134080456134,False,1.9198716991942784e-07,True
18,1.0159633204037027e-05,0.009134080456134,False,1.8881645898291348e-07,True
19,1.0069368417395922e-05,0.009134080456134,False,1.83842094008822e-07,True
20,1.0143900176653247e-05,0.009134080456134,False,1.8095523176713274e-07,True
21,1.0219819488442515e-05,0.009134080456134,False,1.9216443960746151e-07,True
22,1.0155795857425128e-05,0.009134080456134,False,2.2727047763469762e-07,True
23,1.0117144597862387e-05,0.009134080456134,False,1.9339517096527488e-07,True
24,1.019624405360932e-05,0.009134080456134,False,2.2108468575824359e-07,True
25,1.0046802746940025e-05,0.009134080456134,False,2.170237476213994e-07,True
26,1.015424119176119e-05,0.009134080456134,False,1.92950406729756e-07,True
27,1.0146867015864333e-05,0.009134080456134,False,1.8810252387858756e-07,True
28,1.0171818727809949e-05,0.009134080456134,False,1.9663570232294716e-07,True
29,9.985443279304508e-06,0.009134080456134,False,1.945081205085504e-07,True
30,1.0122772255844995e-05,0.009134080456134,False,1.8321451428458653e-07,True
31,1.009850996719948e-05,0.009134080456134,False,1.9519942907973295e-07,True
32,1.0202383946384487e-05,0.009134080456134,False,1.9924824989567746e-07,True
33,1.0122212530131886e-05,0.009134080456134,False,1.8832270128179144e-07,True
34,1.0063324312772484e-05,0.009134080456134,False,2.024235247629341e-07,True
35,1.0200158821208806e-05,0.009134080456134,False,2.0839303952441897e-07,True
36,9.952760871263002e-06,0.009134080456134,False,2.028948581160857e-07,True
37,1.003639144418837e-05,0.009134080456134,False,1.9184074860671865e-07,True
38,1.0086783636286493e-05,0.009134080456134,False,1.760670406568563e-07,True
39,9.947178045007734e-06,0.009134080456134,False,2.0604309311611046e-07,True
40,1.0067260438533058e-05,0.009134080456134,False,1.789716068694484e-07,True
41,1.0006178019816284e-05,0.009134080456134,False,2.0425056238516954e-07,True
42,1.0052932825776814e-05,0.009134080456134,False,2.0204396996149277e-07,True
43,9.996163722387881e-06,0.009134080456134,False,2.124574193206712e-07,True
44,1.0066945117049389e-05,0.009134080456134,False,1.9806602844966384e-07,True
45,9.973046740292212e-06,0.009134080456134,False,1.894091038423652e-07,True
46,1.00366592505735e-05,0.009134080456134,False,1.8828907309510518e-07,True
47,1.0076584407686331e-05,0.009134080456134,False,1.8226350393809404e-07,True
48,1.008595745819942e-05,0.009134080456134,False,1.8016495243975254e-07,True
49,1.0087020765002467e-05,0.009134080456134,False,2.1691553255264332e-07,True
50,1.0150783932592656e-05,0.009134080456134,False,1.9667992234728853e-07,True
51,1.0229169622358615e-05,0.009134080456134,False,1.9079084613660347e-07,True
52,1.0041696075680273e-05,0.009134080456134,False,2.0189991134028137e-07,True
53,9.992173825835717e-06,0.009134080456134,False,1.800501465640582e-07,True
54,1.008477904833183e-05,0.009134080456134,False,2.0817952455932192e-07,True
55,1.003169301019657e-05,0.009134080456134,False,1.8967039824615846e-07,True
56,1.0043876862004957e-05,0.009134080456134,False,2.0750158884341862e-07,True
57,1.0089455039768853e-05,0.009134080456134,False,1.9764165646037055e-07,True
58,1.0074312692922301e-05,0.009134080456134,False,1.9961640969381605e-07,True
59,1.006893007750259e-05,0.009134080456134,False,1.8830938751456026e-07,True
60,9.932212362009399e-06,0.009134080456134,False,1.8316211259842207e-07,True
61,1.0022144263357025e-05,0.009134080456134,False,1.9447383197952443e-07,True
62,1.0047338283539787e-05,0.009134080456134,False,1.9446811527671601e-07,True
63,1.0068509890766097e-05,0.009134080456134,False,1.9351474121348805e-07,True
64,9.959201162645905e-06,0.009134080456134,False,1.9923620726119445e-07,True
65,1.0055754233778109e-05,0.009134080456134,False,2.0390051807660184e-07,True
66,1.0091493469751571e-05,0.009134080456134,False,1.6448479708104492e-07,True
67,1.0091161525747578e-05,0.009134080456134,False,1.7950645117027354e-07,True
68,1.0112965004198162e-05,0.009134080456134,False,2.269475759881052e-07,True
69,1.0123315624509026e-05,0.009134080456134,False,2.113067612471975e-07,True
