window_start_idx,window_end_idx,window_start_time,window_end_time,window_mid_time,h_q-10,r2_q-10,h_q-9,r2_q-9,h_q-8,r2_q-8,h_q-7,r2_q-7,h_q-6,r2_q-6,h_q-5,r2_q-5,h_q-4,r2_q-4,h_q-3,r2_q-3,h_q-2,r2_q-2,h_q-1,r2_q-1,h_q0,r2_q0,h_q1,r2_q1,h_q2,r2_q2,h_q3,r2_q3,h_q4,r2_q4,h_q5,r2_q5,h_q6,r2_q6,h_q7,r2_q7,h_q8,r2_q8,h_q9,r2_q9,h_q10,r2_q10
0,3649,1900-01-05 00:00:00+00:00,1910-01-02 00:00:00+00:00,1905-01-04 00:00:00+00:00,0.7186819186020827,0.9829990924979979,0.7145719355677979,0.983676306011976,0.7099940724559819,0.9845864826565386,0.7049698195906039,0.9858652853037512,0.6996818426822766,0.9877311267945236,0.6947476561801527,0.9904707574903141,0.6919045389456059,0.9941950242847506,0.6955028748931464,0.997800170834953,0.7142055709750805,0.9963189223867557,0.7545112479774562,0.9804400930166361,0.7965016965891626,0.9537677649876947,0.8124830395215888,0.9337329237712192,0.8063029140145459,0.922425389957483,0.7893888573595398,0.9154102960532576,0.768049824105753,0.910089486047796,0.7457177810313048,0.9054221452626238,0.7245581872503141,0.901140968877847,0.7057427813372659,0.8972820530217397,0.6896277449534259,0.8939067107574571,0.6760765642986422,0.8910103565155694,0.6647472096188058,0.888536684330283
365,4014,1901-01-05 00:00:00+00:00,1911-01-02 00:00:00+00:00,1906-01-04 00:00:00+00:00,0.8002929073925843,0.9627363016604918,0.7948998804996253,0.9642057100152472,0.7884702819000261,0.966298423614789,0.7808180186111399,0.9692843390826801,0.7718947554125064,0.9734825793963403,0.7621623604592894,0.97910411344545,0.7535126551966257,0.9858212138900553,0.7510115314338893,0.9923047058923367,0.7643798540766749,0.9968200249370692,0.8039111638774623,0.9975599757880839,0.8644178058366577,0.9922213969282397,0.9184322029234296,0.983163231785366,0.9474133611281582,0.974739232163997,0.954081190626817,0.967567356228543,0.947515010878486,0.9609875246826435,0.9352643556325143,0.9549128175567363,0.9217432871241736,0.9495742082470848,0.9088886554279547,0.9450682828801855,0.8973243971600458,0.9413146773634093,0.8871325822638975,0.9381668163322459,0.878207974279865,0.9354861717188895
730,4379,1902-01-05 00:00:00+00:00,1912-01-02 00:00:00+00:00,1907-01-04 00:00:00+00:00,0.9654408486212083,0.9715873727523714,0.9556581705036519,0.9705556685591243,0.9441448171316994,0.9692254806663464,0.9306759997008659,0.9675255698369674,0.9152947298738747,0.9654385387302243,0.8987931557825987,0.963154533051286,0.8835105701584796,0.9613704495793476,0.8739226623939916,0.9615231033938251,0.875368556292649,0.9650835769410244,0.8891125646555903,0.9710823158159091,0.9068587291451513,0.975497474172465,0.9163079049435701,0.9769133077696821,0.912705075667354,0.976949935977989,0.8983899148551947,0.9762345185540806,0.8780153319859096,0.9746166814970589,0.8560436547891734,0.9722047881849457,0.8354003296289203,0.9693871026857664,0.8173177696703603,0.9665180112859006,0.8019638601895781,0.9637942038754443,0.7890549792105125,0.9612900510365892,0.7781925202655535,0.9590173890219147
1095,4744,1903-01-05 00:00:00+00:00,1913-01-01 00:00:00+00:00,1908-01-04 00:00:00+00:00,0.8327137347795328,0.9384377549138025,0.8235159341114677,0.9398335287043198,0.8126010253929316,0.9419147884725705,0.7995990854760372,0.9449854101596811,0.7842443613585738,0.9494557574914763,0.7667538066289437,0.9558044060893202,0.7486040965731968,0.9643832189346931,0.7335063101955887,0.9749188160352643,0.7275646882998704,0.9856519435584733,0.7376886369704139,0.9921877275542206,0.7673508153527188,0.9873104897877725,0.8073767383479816,0.9685136728817006,0.8381381770569458,0.9454871534322096,0.8512049666496783,0.9262008218972804,0.8509378978497908,0.911164245324579,0.8439333931015297,0.899206429712456,0.8347073114497633,0.8896276979700861,0.8254982482047358,0.8820027035159982,0.8171345716557198,0.8759464734002432,0.8097892704951438,0.8711001718447933,0.8033930216778639,0.867163699579588
1460,5109,1904-01-05 00:00:00+00:00,1914-01-01 00:00:00+00:00,1909-01-03 00:00:00+00:00,0.722690979024494,0.9669466378643756,0.7168106249706888,0.9680581940537554,0.7110326598039296,0.9693924509869585,0.7059589257341929,0.9709679829654206,0.7026364576856048,0.9728590102345229,0.7027049041439349,0.9752853517993875,0.7084733134817702,0.9787085969503464,0.7227985026715229,0.983716714670127,0.7482004429497423,0.9899354191574812,0.7834348087907623,0.993356254380421,0.8177962514558563,0.9886876995682138,0.8365318873051327,0.9791821383156047,0.8358114980279939,0.9701659543034581,0.8212683237919597,0.9623362110462172,0.8002676946949441,0.9553298088637423,0.778364162787697,0.9492969419145945,0.7584381413020133,0.9444617119808948,0.7413745729919867,0.9407880915681543,0.7270826899246084,0.938050786177627,0.7151519865732983,0.9359907369023264,0.7051393583378958,0.9343958997661655
1825,5474,1905-01-04 00:00:00+00:00,1915-01-01 00:00:00+00:00,1910-01-03 00:00:00+00:00,0.7308955631695634,0.9862405485336252,0.7243985055789005,0.9879288306078075,0.717661186166848,0.9897479834656604,0.7110304666633938,0.9915929765799307,0.7050616933693282,0.9933110118971901,0.7004594060774528,0.9947182854257017,0.6978586637899961,0.9956253980093296,0.6974692156412838,0.9958644160799994,0.6987145878179281,0.9953318636387646,0.7000653481298761,0.9940409171014298,0.6992829423633075,0.9920976430464357,0.694146165765642,0.9895543846555601,0.6834649808440106,0.9862983063036296,0.6679296760542102,0.9821759833844446,0.6499593369199472,0.9772942640295346,0.6322693992403217,0.9721338459354717,0.6165394678997161,0.9672776067356676,0.6032682454610172,0.9630981197437063,0.592286635175855,0.9596982077186974,0.5832064697599691,0.9570119914179626,0.5756372985057845,0.9549107582476627
2190,5839,1906-01-04 00:00:00+00:00,1916-01-01 00:00:00+00:00,1911-01-03 00:00:00+00:00,0.7421060150832138,0.9559230532292166,0.734742027606812,0.9575968236356034,0.7268770183046577,0.9596049707846778,0.7188774159592938,0.9620052557734419,0.7113501052645285,0.9648746973982408,0.7050798036553996,0.9683077591533923,0.7008423717228727,0.9723807040424225,0.6991665722586945,0.977077562989086,0.7001110839161572,0.9821822941526409,0.702984530469883,0.987105738670995,0.7060080614861172,0.990773796218953,0.7065012529757271,0.9920247601908271,0.7022723613036418,0.9903096384771362,0.6932210394912525,0.9857955548931164,0.6812544985495127,0.9791303882355447,0.6686948004335423,0.9712705891594551,0.6570451094481767,0.9631551815895246,0.6468758238079594,0.955421951729141,0.6382132245888744,0.9483771623546885,0.6308726102750528,0.9421044156048565,0.6246269322925724,0.9365736708001134
2555,6204,1907-01-04 00:00:00+00:00,1916-12-31 00:00:00+00:00,1912-01-03 00:00:00+00:00,0.5683106200000106,0.9478149509566455,0.5635957861203368,0.9498284961038593,0.559203921180062,0.9522828362557567,0.5555660236760318,0.9552351232672732,0.5532407304646735,0.9587722662360331,0.5528504143160335,0.9630356579454571,0.5549412927776518,0.9682205899049933,0.5597495538294254,0.9744880426592909,0.5668651802988072,0.9816796727459838,0.5748361424351784,0.9888250873530952,0.5809672127725212,0.9941131020355352,0.5820577705754837,0.9962519732808888,0.5763643288944023,0.9955903214771568,0.564908917263334,0.9931437818829492,0.550533619477489,0.9896071863127526,0.5359693171899405,0.9854630995794857,0.5227994085347462,0.9811524264182003,0.5115588832048907,0.9770098581795801,0.5022077679324366,0.9732191816138948,0.4944891687992784,0.9698456777618376,0.48810736445081027,0.9668870770347252
2920,6569,1908-01-04 00:00:00+00:00,1917-12-31 00:00:00+00:00,1913-01-02 00:00:00+00:00,0.7293420701829454,0.983129251651498,0.7271101413261537,0.9838689248408199,0.7250170203099711,0.9846971255384723,0.7231716933889772,0.9856054752445227,0.7217042031009189,0.9865727126638938,0.7207689011303858,0.9875630625729113,0.7205672880609743,0.9885296165499655,0.721413042412778,0.9894252741712344,0.7238490683846575,0.9902186448524254,0.7287324377528593,0.9908825678180806,0.7369088510942847,0.9912320142089415,0.7477778947077863,0.9905608550074463,0.7575181903167684,0.9880441096199006,0.7611499102571142,0.9842388966823126,0.7573860463211677,0.9804737766820248,0.748701176309378,0.9772953319850893,0.7381380673573678,0.9746376905274413,0.7276373525839435,0.9723587094017334,0.7180560981360448,0.9703815294622995,0.7096289049792123,0.9686679841030246,0.7023163024521539,0.9671892371484266
3285,6934,1909-01-03 00:00:00+00:00,1918-12-31 00:00:00+00:00,1914-01-02 00:00:00+00:00,0.5822103277183519,0.9933106093013957,0.5811112809778262,0.994130777252442,0.5803204907693413,0.994998753568001,0.5800823529485579,0.9958778985669151,0.5807917160941589,0.9966975609372697,0.5830927043329138,0.9973339030067843,0.5880434432957115,0.9975929676962413,0.5973470889423713,0.9972395748070901,0.613458346717893,0.996196218787106,0.638691115716399,0.994966771237,0.6716291228339701,0.9944715111062268,0.7027434766457924,0.9943177214466371,0.719824424790721,0.9925768536521348,0.7202752096934664,0.9880710268081057,0.7102825149685287,0.9812705091566084,0.6964367601831234,0.9735067265734626,0.6824357434198898,0.9658675520573429,0.6697346448327581,0.9588817574373903,0.6586823552239531,0.9527033955028757,0.6491949515643689,0.9473127022239343,0.6410590301976696,0.9426264711906054
